Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
202;infrastructure;^!ll@geP@ntry;00:1D:7E:95:6E:D8;;6;Yes;WEP,TKIP,WPA;No;0.0;1000;0;8;1;1;0;9;IEEE 802.11b;;Thu Sep 25 18:55:11 2008;Thu Sep 25 18:55:11 2008;0;-85;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;90;None;0.0.0.0;
203;infrastructure;Spunky;00:0F:66:29:5C:A5;;6;No;WEP,TKIP,WPA,PSK;No;11.0;1000;25600;6;0;0;0;6;IEEE 802.11b;;Thu Sep 25 18:55:13 2008;Thu Sep 25 18:55:21 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
204;infrastructure;7001 7704;00:0F:CC:E0:10:08;;6;No;WEP;No;22.0;1000;25600;9;0;0;0;9;IEEE 802.11b;;Thu Sep 25 18:55:17 2008;Thu Sep 25 18:55:21 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
205;infrastructure;CTMT Conference Room;00:18:39:40:03:AB;;6;No;WEP;No;54.0;1000;25600;25;0;0;0;25;IEEE 802.11b;;Thu Sep 25 18:55:19 2008;Thu Sep 25 18:55:29 2008;0;-82;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
206;infrastructure;3601 4304;00:1F:C4:78:07:00;;6;No;WEP;No;22.0;1000;25600;49;0;0;0;49;IEEE 802.11b;;Thu Sep 25 18:55:23 2008;Thu Sep 25 18:55:31 2008;0;-68;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
207;infrastructure;2WIRE642;00:14:95:78:B5:59;;6;No;WEP;No;18.0;2000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:55:24 2008;Thu Sep 25 18:55:24 2008;0;-85;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
208;probe;<no ssid>;00:1A:73:46:C1:E8;;0;No;None;No;11.0;1000;0;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:55:27 2008;Thu Sep 25 18:55:27 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
209;probe;<no ssid>;00:21:00:05:8B:63;;0;No;None;No;11.0;1000;0;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:55:29 2008;Thu Sep 25 18:55:29 2008;0;-69;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
210;probe;<no ssid>;00:1B:FC:68:92:6F;;0;No;None;No;54.0;1000;0;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:30 2008;Thu Sep 25 18:55:30 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
211;infrastructure;<no ssid>;00:03:52:EB:5E:70;;8;No;None;No;18.0;1000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:55:32 2008;Thu Sep 25 18:55:32 2008;0;-77;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
212;probe;EL MINZAH;00:90:4B:FB:E3:95;;0;No;None;No;54.0;1000;0;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:32 2008;Thu Sep 25 18:55:32 2008;0;-85;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
213;probe;NETGEAR;00:0E:35:B1:2D:69;;0;No;None;No;18.0;1000;0;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:36 2008;Thu Sep 25 18:55:36 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
214;infrastructure;2WIRE838;00:1D:5A:D3:60:99;;5;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;8;0;0;0;8;IEEE 802.11b;;Thu Sep 25 18:55:39 2008;Thu Sep 25 18:55:41 2008;0;-70;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
215;infrastructure;ABA46250;00:1B:2F:5D:D0:48;;6;No;WEP;No;54.0;1000;25600;22;2;2;0;24;IEEE 802.11b,IEEE 802.11n 20MHz;;Thu Sep 25 18:55:42 2008;Thu Sep 25 18:55:45 2008;0;-71;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;140;None;0.0.0.0;
216;infrastructure;emsco;00:12:17:BF:C4:16;;6;No;WEP;No;54.0;1000;25600;4;0;0;0;4;IEEE 802.11b;;Thu Sep 25 18:55:44 2008;Thu Sep 25 18:55:44 2008;0;-83;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
217;infrastructure;0156 5360;00:0F:CC:06:E5:3C;;6;No;WEP;No;22.0;1000;25600;37;0;0;0;37;IEEE 802.11b;;Thu Sep 25 18:55:44 2008;Thu Sep 25 18:55:53 2008;0;-72;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
218;infrastructure;linksys_SES_23074;00:14:BF:AF:CB:A5;;6;No;WEP,TKIP,WPA,PSK;No;54.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:45 2008;Thu Sep 25 18:55:45 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
219;infrastructure;National;00:19:55:70:E2:C1;IndIn-AP2\000\000\000\000\000\000\000\000\000\000;8;No;None;No;18.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:46 2008;Thu Sep 25 18:55:46 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
220;infrastructure;Nat Lab;00:1E:E5:F2:11:A3;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;3;0;0;0;3;IEEE 802.11n 40MHz;;Thu Sep 25 18:55:48 2008;Thu Sep 25 18:55:49 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
221;infrastructure;<no ssid>;00:19:55:70:E2:C0;IndIn-AP2\000\000\000\000\000\000\000\000\000\000;8;No;WEP,TKIP,WPA,PSK;No;18.0;1000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:55:48 2008;Thu Sep 25 18:55:48 2008;0;-76;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
222;probe;<no ssid>;00:13:CE:A0:1A:AD;;0;No;None;No;18.0;1000;0;5;0;0;0;5;IEEE 802.11b;;Thu Sep 25 18:55:53 2008;Thu Sep 25 18:55:56 2008;0;-81;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
223;ad-hoc;hpsetup;DE:BF:FD:FE:23:10;;6;No;None;No;11.0;1000;2560;316;0;0;0;316;IEEE 802.11b;;Thu Sep 25 18:55:56 2008;Thu Sep 25 19:03:25 2008;0;-69;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
224;infrastructure;Bristow;00:21:29:8C:A0:FF;;6;No;WEP,TKIP,WPA,PSK,AES-CCM;No;54.0;1000;25600;38;0;0;0;38;IEEE 802.11b;;Thu Sep 25 18:55:57 2008;Thu Sep 25 18:56:06 2008;0;-69;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
225;infrastructure;linksys;00:1C:10:32:30:32;;6;No;WEP;No;54.0;1000;25600;15;0;0;0;15;IEEE 802.11b;;Thu Sep 25 18:55:57 2008;Thu Sep 25 18:56:05 2008;0;-82;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
226;probe;<no ssid>;00:16:6F:4D:6A:63;;0;No;None;No;18.0;1000;0;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:56:00 2008;Thu Sep 25 18:56:00 2008;0;-85;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
227;infrastructure;2WIRE358;00:12:88:83:65:89;;6;No;WEP;No;22.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:56:00 2008;Thu Sep 25 18:56:00 2008;0;-85;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
228;infrastructure;linksys;00:14:BF:F0:46:AF;;6;No;WEP,TKIP,WPA,PSK;No;54.0;1000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:56:04 2008;Thu Sep 25 18:56:09 2008;0;-82;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
229;infrastructure;<no ssid>;00:1E:2A:00:19:38;;6;No;WEP,WPA,PSK,AES-CCM,CCMP;No;36.0;1000;25600;6;2;2;0;8;IEEE 802.11b;;Thu Sep 25 18:56:05 2008;Thu Sep 25 18:56:09 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;287;None;0.0.0.0;
230;infrastructure;2WIRE703;00:1D:5A:CF:ED:C1;;4;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:56:06 2008;Thu Sep 25 18:56:06 2008;0;-79;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
231;infrastructure;2WIRE187;00:1F:B3:4A:9C:51;;5;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;3;0;0;0;3;IEEE 802.11b;;Thu Sep 25 18:56:07 2008;Thu Sep 25 18:56:13 2008;0;-75;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
232;infrastructure;<no ssid>;00:21:D8:7F:B0:10;AP001e.f7ee.8c7\000\001\000\000;6;No;WEP,TKIP,WPA,PSK;No;18.0;1000;25600;6;0;0;0;6;IEEE 802.11b;;Thu Sep 25 18:56:17 2008;Thu Sep 25 18:56:22 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
233;infrastructure;7221 1050;00:0F:CC:E9:1D:E4;;6;No;WEP;No;22.0;1000;25600;46;0;0;0;46;IEEE 802.11b;;Thu Sep 25 18:56:18 2008;Thu Sep 25 18:56:37 2008;0;-67;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
234;infrastructure;S3X;00:12:DA:CB:A4:F0;;6;Yes;WEP,TKIP,WPA,PSK;No;11.0;5000;25600;1;0;0;0;1;IEEE 802.11b;;Thu Sep 25 18:56:21 2008;Thu Sep 25 18:56:21 2008;0;-84;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
235;infrastructure;2WIRE967;00:1B:5B:9F:F1:F9;;8;No;WEP,TKIP,WPA,PSK;No;18.0;2000;25600;2;0;0;0;2;IEEE 802.11b;;Thu Sep 25 18:56:29 2008;Thu Sep 25 18:56:29 2008;0;-81;0;90.000000;180.000000;0.000000;0.000000;-90.000000;-180.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;None;0.0.0.0;
